Hostname,IP address history,OS version,Sensor version,Manufacturer,Last seen
BU3-PWCSQL002,10.30.129.90,Windows Server 2019,7.41.20517.0,Dell Inc.,2026-06-25T17:34:32Z
BU4-PWCIIS086,10.40.155.128,Windows Server 2016,7.41.20593.0,"VMware, Inc.",2026-06-25T09:39:40Z
BU5-SWCRDP004.BU5.LOCAL,10.50.110.54,Windows 11,7.34.20991.0,"VMware, Inc.",2026-06-25T04:38:32Z
BU1-PWCIDM068.BU1.LOCAL,10.10.162.220,Windows 11,7.40.20806.0,"VMware, Inc.",2026-06-25T18:54:55Z
BU1-PWCSHP070.BU1.LOCAL,10.10.224.190,Windows Server 2025,7.30.19835.0,Microsoft Corporation,2026-06-26T02:06:03Z
BU2-PWCEXC014.BU2.LOCAL,10.20.38.245,Windows Server 2019,7.35.20837.0,"VMware, Inc.",2026-06-25T00:54:40Z
BU5-SLCWEB020,"10.50.73.23, 10.2.237.167",RHEL 8.10,7.41.20325.0,Dell Inc.,2026-06-24T17:18:50Z
BU1-PLCBAK035,10.10.170.165,RHEL 9.6,7.37.19204.0,"VMware, Inc.",2026-06-15T10:40:03Z
BU2-PWCFIL047,10.20.133.232,Windows Server 2016,7.32.19444.0,"VMware, Inc.",2026-06-24T16:52:07Z
BU2-PWCPRT042,"10.20.109.234, 10.6.114.130",Windows Server 2019,7.31.19605.0,Microsoft Corporation,2026-06-25T06:56:19Z
BU1-PLCNGX012,10.10.102.242,RHEL 8.10,7.36.19058.0,HPE,2026-06-25T10:17:52Z
BU5-PWCEXC058,10.50.236.46,Windows Server 2016,7.41.20905.0,Microsoft Corporation,2026-06-25T01:34:40Z
BU5-PWCDNS003,"10.50.213.122, 10.19.3.62",Windows Server 2016,7.36.20432.0,"VMware, Inc.",2026-06-25T21:20:53Z
BU2-SWCAPP020,10.20.177.123,Windows 11,7.39.19331.0,HPE,2026-06-24T17:10:43Z
BU1-PWCDNS018,"10.10.169.68, 10.3.139.240",Windows Server 2022,7.36.19621.0,Microsoft Corporation,2026-06-25T11:31:10Z
BU2-SWCRDP031,"10.20.220.80, 10.10.247.203",Windows Server 2016,7.34.19976.0,Microsoft Corporation,2026-06-24T18:12:43Z
BU3-SLCAPI001.BU3.LOCAL,10.30.143.77,RHEL 10.0,7.33.20147.0,"VMware, Inc.",2026-06-25T18:54:18Z
BU1-PLCPGS021,10.10.11.31,RHEL 8.10,7.32.19118.0,"VMware, Inc.",2026-06-24T20:16:00Z
BU1-PWCSQL106,10.10.110.227,Windows Server 2019,7.31.20354.0,"VMware, Inc.",2026-06-24T16:16:17Z
BU2-DLCJMP009,"10.20.232.21, 10.19.167.192",RHEL 9.6,7.40.19901.0,"VMware, Inc.",2026-06-25T14:37:50Z
BU3-PWCDNS042,10.30.28.22,Windows Server 2016,7.38.20316.0,HPE,2026-06-25T16:42:38Z
BU2-PLCSMT007,10.20.138.33,RHEL 8.10,7.36.20165.0,"VMware, Inc.",2026-06-25T12:55:30Z
BU2-PWCRDP087,"10.20.132.240, 10.15.46.13",Windows 11,7.38.20331.0,"VMware, Inc.",2026-06-25T04:40:08Z
BU1-PWCRDP036.BU1.LOCAL,"10.10.85.172, 10.5.181.125",Windows 11,7.34.19470.0,"VMware, Inc.",2026-06-25T22:48:07Z
BU3-PWCWEB060,10.30.157.31,Windows Server 2019,7.37.19740.0,Dell Inc.,2026-06-25T18:06:09Z
BU2-DWCAPP002,10.20.12.165,Windows Server 2019,7.33.20424.0,"VMware, Inc.",2026-04-19T05:54:37Z
BU4-PWCADC125,10.40.167.154,Windows Server 2025,7.30.19927.0,"VMware, Inc.",2026-06-26T02:48:58Z
BU2-PWCEXC068,10.20.80.113,Windows Server 2019,7.32.19206.0,"VMware, Inc.",2026-06-24T23:30:10Z
BU3-PWCCRM007.BU3.LOCAL,10.30.7.183,Windows Server 2022,7.35.20223.0,"VMware, Inc.",2026-06-25T00:27:39Z
BU2-DWCIIS024,10.20.225.4,Windows Server 2019,7.32.19866.0,Microsoft Corporation,2026-06-25T16:59:15Z
BU1-PWCDNS119,10.10.61.77,Windows Server 2022,7.41.20646.0,"VMware, Inc.",2026-06-24T23:51:14Z
BU5-SWCPRT033.BU5.LOCAL,10.50.247.215,Windows Server 2019,7.38.20003.0,"VMware, Inc.",2026-06-25T19:13:48Z
BU4-PWCADC012.BU4.LOCAL,10.40.223.27,Windows Server 2025,7.35.20502.0,HPE,2026-06-26T02:13:39Z
BU3-SWCADC010.BU3.LOCAL,"10.30.161.74, 10.9.4.189",Windows Server 2025,7.38.19959.0,Microsoft Corporation,2026-06-25T01:56:20Z
BU2-SWCIIS031,10.20.106.193,Windows Server 2019,7.38.20679.0,"VMware, Inc.",2026-06-25T15:18:58Z
BU2-PWCSQL055,10.20.226.57,Windows Server 2019,7.35.20736.0,HPE,2026-06-26T01:44:57Z
BU1-SWCADC055,10.10.164.6,Windows Server 2022,7.34.19661.0,"VMware, Inc.",2026-06-25T21:20:41Z
BU2-PWCADC024,10.20.40.105,Windows Server 2016,7.40.20951.0,Dell Inc.,2026-06-25T04:38:59Z
BU3-SLCDKR011,"10.30.1.41, 10.11.41.46",RHEL 10.0,7.40.20004.0,Microsoft Corporation,2026-06-19T08:11:43Z
BU5-SLCBAK007,"10.50.3.98, 10.20.228.35",RHEL 10.0,7.40.19692.0,"VMware, Inc.",2026-06-25T10:17:54Z
BU2-PLCBAK017,"10.20.128.125, 10.5.73.71",RHEL 9.6,7.41.19547.0,Microsoft Corporation,2026-06-25T14:14:37Z
BU4-PWCEXC014.BU4.LOCAL,10.40.78.4,Windows Server 2019,7.41.20319.0,"VMware, Inc.",2026-06-25T07:41:13Z
BU2-PLCAPI011,10.20.34.244,RHEL 8.10,7.31.19065.0,Dell Inc.,2026-06-24T17:59:06Z
BU4-PWCAPP106,10.40.107.10,Windows Server 2022,7.30.20145.0,Dell Inc.,2026-06-26T02:00:20Z
BU1-SWCCRM007.BU1.LOCAL,"10.10.99.253, 10.16.103.64",Windows Server 2025,7.41.20846.0,Microsoft Corporation,2026-06-24T15:56:00Z
BU2-PWCADC079,10.20.125.199,Windows Server 2016,7.41.19987.0,"VMware, Inc.",2026-06-25T20:24:00Z
BU2-PWCDNS035,10.20.197.105,Windows Server 2019,7.33.20497.0,Microsoft Corporation,2026-06-25T05:26:22Z
BU3-SWCADC016,10.30.225.174,Windows Server 2025,7.41.20390.0,Dell Inc.,2026-06-26T02:41:46Z
BU5-PLCJMP015.BU5.LOCAL,10.50.238.197,RHEL 9.6,7.35.20953.0,"VMware, Inc.",2026-06-24T19:33:47Z
BU1-SLCAPP003,10.10.225.158,RHEL 8.10,7.36.19952.0,"VMware, Inc.",2026-06-25T11:10:42Z
BU4-PLCMON031,10.40.90.29,RHEL 10.0,7.32.20331.0,"VMware, Inc.",2026-06-25T21:54:38Z
BU1-SWCERP042,10.10.235.122,Windows Server 2016,7.39.20203.0,HPE,2026-06-25T21:29:01Z
BU5-SWCEXC016,10.50.169.150,Windows Server 2016,7.35.19044.0,"VMware, Inc.",2026-06-25T04:58:14Z
BU2-SWCFIL001,"10.20.84.214, 10.14.25.52",Windows Server 2025,7.39.20659.0,Microsoft Corporation,2026-06-24T22:14:44Z
BU2-PWCPRT103,10.20.40.160,Windows Server 2019,7.41.19028.0,Dell Inc.,2026-06-24T22:37:24Z
BU3-PWCAPP012,10.30.57.216,Windows 11,7.35.19907.0,"VMware, Inc.",2026-06-25T21:16:01Z
BU3-PLCAPI015,10.30.113.23,RHEL 9.6,7.34.19610.0,"VMware, Inc.",2026-06-25T19:48:07Z
BU2-PLCDKR012,10.20.176.191,RHEL 9.6,7.38.19035.0,Dell Inc.,2026-06-25T04:13:12Z
BU4-PWCPRT106,10.40.200.65,Windows Server 2025,7.40.20953.0,Dell Inc.,2026-06-25T11:27:14Z
BU4-PWCRDP019.BU4.LOCAL,10.40.98.6,Windows Server 2025,7.36.19128.0,Dell Inc.,2026-06-25T07:06:46Z
