Device name,OS,OS version,Compliance state,Last check-in,Ownership,Management name,Primary user
BU3-PWCSQL002,Windows,10.0.19045,Compliant,2026-06-24T04:35:08.232Z,Corporate,BU3-PWCSQL002_Windows,bu3\user537
BU4-PWCIIS086,Windows,10.0.19045,Compliant,2026-06-24T02:16:41.064Z,Corporate,BU4-PWCIIS086_Windows,bu4\user628
BU5-SWCRDP004,Windows,10.0.22631,Compliant,2026-06-23T23:12:55.687Z,Personal,BU5-SWCRDP004_Windows,bu5\user418
BU1-PWCIDM068,Windows,10.0.22631,Compliant,2026-06-23T11:21:29.682Z,Corporate,BU1-PWCIDM068_Windows,bu1\user234
BU1-PWCSHP070,Windows,10.0.19045,Compliant,2026-06-25T00:58:45.874Z,Corporate,BU1-PWCSHP070_Windows,bu1\user43
BU2-PWCEXC014,Windows,10.0.19045,Compliant,2026-06-25T06:42:21.966Z,Corporate,BU2-PWCEXC014_Windows,bu2\user609
BU5-SLCWEB020,Linux,10.0.19045,Compliant,2026-06-23T18:49:07.572Z,Corporate,BU5-SLCWEB020_Linux,bu5\user401
BU2-PWCFIL047,Windows,10.0.19045,Compliant,2026-06-24T06:54:50.464Z,Corporate,BU2-PWCFIL047_Windows,bu2\user866
BU2-PWCPRT042,Windows,10.0.19045,Noncompliant,2026-06-25T00:01:04.418Z,Corporate,BU2-PWCPRT042_Windows,bu2\user410
BU5-PWCEXC058,Windows,10.0.19045,Compliant,2026-06-24T14:39:06.615Z,Corporate,BU5-PWCEXC058_Windows,bu5\user215
BU5-PWCDNS003,Windows,10.0.19045,Compliant,2026-06-25T06:58:43.546Z,Corporate,BU5-PWCDNS003_Windows,bu5\user441
BU2-SWCAPP020,Windows,10.0.22631,Compliant,2026-06-24T00:13:13.244Z,Corporate,BU2-SWCAPP020_Windows,bu2\user174
BU1-PWCDNS018,Windows,10.0.22631,Compliant,2026-06-24T09:01:55.834Z,Corporate,BU1-PWCDNS018_Windows,bu1\user490
BU2-SWCRDP031,Windows,10.0.19045,Compliant,2026-06-24T11:26:48.040Z,Corporate,BU2-SWCRDP031_Windows,bu2\user366
BU3-SLCAPI001,Linux,10.0.19045,Compliant,2026-06-25T03:56:04.869Z,Corporate,BU3-SLCAPI001_Linux,bu3\user285
BU1-PWCSQL106,Windows,10.0.19045,Compliant,2026-06-23T13:18:03.264Z,Corporate,BU1-PWCSQL106_Windows,bu1\user444
BU2-DLCJMP009,Linux,10.0.19045,Compliant,2026-06-24T00:59:59.218Z,Corporate,BU2-DLCJMP009_Linux,bu2\user340
BU3-PWCDNS042,Windows,10.0.19045,Compliant,2026-06-23T13:32:03.183Z,Corporate,BU3-PWCDNS042_Windows,bu3\user562
BU2-PLCSMT007,Linux,10.0.19045,Compliant,2026-06-25T03:56:15.879Z,Corporate,BU2-PLCSMT007_Linux,bu2\user210
BU2-PWCRDP087,Windows,10.0.22631,Compliant,2026-02-28T15:49:16.004Z,Personal,BU2-PWCRDP087_Windows,bu2\user891
BU1-PWCRDP036,Windows,10.0.22631,Compliant,2026-06-23T12:31:47.541Z,Corporate,BU1-PWCRDP036_Windows,bu1\user227
BU2-DWCAPP002,Windows,10.0.19045,Compliant,2026-06-23T07:58:15.373Z,Corporate,BU2-DWCAPP002_Windows,bu2\user92
BU4-PWCADC125,Windows,10.0.19045,Compliant,2026-06-23T16:17:14.773Z,Corporate,BU4-PWCADC125_Windows,bu4\user592
BU2-PWCEXC068,Windows,10.0.19045,Compliant,2026-06-24T09:26:32.870Z,Corporate,BU2-PWCEXC068_Windows,bu2\user320
